Symbol,Long/Short,Entry Price,Exit Price,Entry Date,Exit Date,Profit/Loss $,Profit/Loss %,Year
SEDG,Long,11/6/2024,$13.27 ,$15.07 ,11/7/2024,13.56%,2023,
WBD,Long,11/5/2024,$8.17 ,$9.30 ,11/7/2024,13.83%,2023,
FSLY,Long,11/5/2024,$7.30 ,$8.02 ,11/6/2024,9.86%,2023,
SEDG,Long,10/22/2024,$16.30 ,$18.80 ,11/4/2024,15.34%,2023,
VST,Short,10/16/2024,$135.75 ,$115.00 ,11/4/2024,15.29%,2023,
MSTR,Short,10/29/2024,$265.00 ,$225.00 ,10/30/2024,15.09%,2023,
JKS,Long,10/17/2024,$20.20 ,$23.60 ,10/25/2024,16.83%,2023,
SOXS,Long,9/25/2024,$19.02 ,$20.88 ,10/15/2024,9.78%,2023,
KWEB,Short,9/27/2024,$36.83 ,$32.63 ,10/15/2024,11.40%,2023,
WOLF (Half),Long,7/31/2024,$12.00 ,$15.30 ,10/15/2024,27.50%,2023,
WOLF (Half),Long,7/31/2024,$12.00 ,$12.00 ,10/11/2024,0%,2023,
VST,Short,10/3/2024,$133.50 ,$116.70 ,10/11/2024,12.58%,2023,
KOLD,Long,9/20/2024,$56.50 ,$67.60 ,10/10/2024,19.65%,2023,
KOLD,Long,9/20/2024,$56.50 ,$65.10 ,10/9/2024,15.22%,2023,
IQ,Long,7/30/2024,$2.64 ,$3.12 ,9/27/2024,18.41%,2023,
BIDU,Long,7/19/2024,$89.35 ,$101.45 ,9/26/2024,13.54%,2023,
BABA,Long,5/23/2024,$79.46 ,$95.00 ,9/24/2024,19.56%,2023,
SOXS,Long,9/19/2024,$20.99 ,$23.40 ,9/20/2024,11.48%,2023,
CVNA,Short,8/16/2024,$152.05 ,$126.45 ,9/10/2024,16.84%,2023,
JPM,Short,8/26/2024,$219.28 ,$201.70 ,9/10/2024,8.06%,2023,
VXX,Long,8/13/2024,$46.81 ,$52.50 ,9/4/2024,12.16%,2023,
SOXS,Long,8/14/2024,$23.07 ,$25.80 ,9/4/2024,11.84%,2023,
ANF,Short,8/16/2024,$167.00 ,$149.75 ,8/28/2024,10.32%,2023,
ZM,Long,5/6/2024,$59.17 ,$65.77 ,8/22/2024,11.15%,2023,
INTC,Long,8/2/2024,$20.01 ,$21.03 ,8/15/2024,5.10%,2023,
EWZ,Long,6/3/2024,$28.64 ,$30.36 ,8/15/2024,6.01%,2023,
F,Long,8/5/2024,$9.81 ,$10.50 ,8/15/2024,7.03%,2023,
QCOM,Long,8/1/2024,$156.82 ,$169.85 ,8/14/2024,8.31%,2023,
MU,Long,7/25/2024,$94.32 ,$100.85 ,8/14/2024,6.92%,2023,
NKE,Long,7/24/2024,$72.23 ,$78.85 ,8/13/2024,9.17%,2023,
BOIL,Long,7/26/2024,$9.00 ,$10.06 ,8/7/2024,11.78%,2023,
CRWD,Long,8/2/2024,$208.45 ,$240.45 ,8/7/2024,15.35%,2023,
ARM,Long,8/5/2024,$101.75 ,$117.50 ,8/6/2024,15.48%,2023,
AVGO,Long,8/5/2024,$130.77 ,$144.25 ,8/5/2024,10.31%,2023,
AMD,Long,8/5/2024,$121.70 ,$134.35 ,8/5/2024,10.39%,2023,
SMCI,Long,8/5/2024,$536.00 ,$592.25 ,8/5/2024,10.49%,2023,
SOXL,Long,8/5/2024,$23.85 ,$28.40 ,8/5/2024,19.08%,2023,
CAT,Short,3/15/2024,$346.39 ,$307.10 ,8/5/2024,11.34%,2023,
AXP,Short,3/21/2024,$242.75 ,$222.00 ,8/5/2024,8.55%,2023,
SQQQ,Long,11/8/2023,$15.55 ,$11.73 ,8/5/2024,-24.56%,2023,
RCL,Short,4/29/2024,$148.90 ,$132.00 ,8/5/2024,11.35%,2023,
KRE,Short,7/17/2024,$56.95 ,$51.65 ,8/5/2024,9.31%,2023,
CVNA,Short,7/29/2024,$135.00 ,$123.00 ,8/5/2024,8.89%,2023,
SDS,Long,11/6/2023,$34.41 ,$25.75 ,8/5/2024,-25.16%,2023,
SPXS,Long,11/20/2023,$10.96 ,$9.23 ,8/5/2024,-15.78%,2023,
SMCI,Short,1/19/2024,$516.32 ,$561.50 ,8/5/2024,-8.75%,2023,
VIXY,Long,11/1/2023,$16.89 ,$15.65 ,8/2/2024,-7.34%,2023,
VXX,Long,2/14/2024,$53.24 ,$58.77 ,8/2/2024,10.39%,2023,
QID,Long,6/11/2024,$41.49 ,$44.19 ,8/2/2024,6.51%,2023,
KLAC,Short,5/24/2024,$780.72 ,$700.00 ,8/2/2024,10.34%,2023,
ANF,Short,5/10/2024,$158.50 ,$141.00 ,8/1/2024,11.04%,2023,
TLT,Long,8/1/2024,$88.05 ,$95.65 ,8/1/2024,8.63%,2023,
AMD,Long,7/25/2024,$137.50 ,$151.50 ,7/31/2024,10.18%,2023,
BMY,Long,5/24/2024,$41.25 ,$48.35 ,7/26/2024,17.21%,2023,
HPE,Short,6/13/2024,$21.80 ,$19.54 ,7/25/2024,10.37%,2023,
SOXS,Long,6/5/2024,$22.10 ,$25.32 ,7/24/2024,14.57%,2023,
TSLA,Short,7/2/2024,$247.80 ,$221.80 ,7/24/2024,10%,2023,
SCO,Long,6/10/2024,$15.96 ,$17.16 ,7/23/2024,7.52%,2023,
BOIL,Long,7/15/2024,$10.65 ,$11.82 ,7/22/2024,10.99%,2023,
CRWD,Short,12/15/2023,$337.95 ,$275.00 ,7/19/2024,18.63%,2023,
DPZ,Short,4/29/2024,$535.50 ,$416.20 ,7/18/2024,22.28%,2023,
META,Short,5/8/2024,$505.25 ,$468.75 ,7/17/2024,7.23%,2023,
U,Long,6/18/2024,$16.30 ,$18.30 ,7/17/2024,12.27%,2023,
WOLF,Long,6/25/2024,$21.84 ,$25.24 ,7/11/2024,15.57%,2023,
BIDU,Long,6/17/2024,$91.22 ,$100.52 ,7/10/2024,10.20%,2023,
INTC,Long,4/25/2024,$31.95 ,$35.20 ,7/9/2024,10.17%,2023,
CMG,Short,6/26/2024,$65.97 ,$59.30 ,7/8/2024,10.11%,2023,
KOLD,Long,6/10/2024,$35.40 ,$40.50 ,6/10/2024,14.12%,2023,
DELL,Short,5/15/2024,$154.00 ,$143.00 ,5/30/2024,7.14%,2023,
CRM,Short,2/1/2023,$230.04 ,$213.04 ,5/30/2024,7.39%,2023,
KOLD,Long,5/15/2024,$44.20 ,$49.00 ,5/29/2024,10.86%,2023,
SBUX,Long,5/1/2024,$73.45 ,$78.05 ,5/20/2024,6.26%,2023,
BA,Long,4/15/2024,$169.50 ,$188.20 ,5/20/2024,11.03%,2023,
BABA,Long,10/3/2023,$80.64 ,$88.35 ,5/17/2024,9.56%,2023,
VFS,LONG,4/19/2024,$2.60 ,$3.05 ,5/6/2024,17.31%,2023,
UNG,LONG,3/12/2024,$15.29 ,$15.75 ,5/2/2024,3.01%,2023,
BIIB,LONG,4/15/2024,$197.93 ,$217.43 ,4/29/2024,9.95%,2023,
NIO,LONG,4/15/2024,$3.91 ,$4.52 ,4/26/2024,15.60%,2023,
AMD,LONG,4/19/2024,$148.50 ,$158.25 ,4/26/2024,6.57%,2023,
META,Short,11/18/2023,$418.40 ,$404.50 ,4/24/2024,3.35%,2023,
TSLA,LONG,4/22/2024,$139.95 ,$156.05 ,4/23/2024,11.50%,2023,
LULU,LONG,4/16/2024,$333.50 ,$360.00 ,4/22/2024,7.95%,2023,
QID,Long,2/1/2024,$49.85 ,$50.65 ,4/19/2024,1.67%,2023,
UBER,Short,11/29/2023,$70.53 ,$68.65 ,4/19/2024,2.67%,2023,
AVGO,Short,12/12/2023,"$1,246.66 ","$1,222.50 ",4/19/2024,1.94%,2023,
SOXS,Short,11/14/2023,$48.00 ,$46.50 ,4/19/2024,-3.12%,2023,
COIN,Short,3/4/2024,$264.66 ,$208.80 ,4/16/2024,11%,2023,
ANF,Short,1/30/2024,$110.41 ,$109.65 ,4/16/2024,0.69%,2023,
JPM,Short,12/20/2024,$184.73 ,$180.45 ,4/16/2024,2.32%,2023,
VLO,Short,4/5/2024,$184.00 ,$170.05 ,4/15/2024,8.20%,2023,
KWEB,Long,2/20/2024,$24.85 ,$27.50 ,3/13/2024,5%,2023,
NEM,Long,1/17/2024,$34.19 ,$34.50 ,3/8/2024,5.60%,2023,
GDX,Long,6/29/2023,$28.95 ,$29.70 ,3/7/2024,1%,2023,
GOLD,Long,2/2/2024,$14.69 ,$15.44 ,3/4/2024,5.11%,2023,
UNG,Long,1/18/2024,$18.06*,$17.68 ,3/4/2024,-2.11%,2023,
V,Short,1/18/2024,$267.81*,$279.15 ,3/4/2024,-4.23%,2023,
SLV,Long,12/8/2023,$21.19 ,$21.75 ,3/4/2024,2.64%,2023,
MCD,Short,11/24/2023,$281.98 ,$315.00 ,3/4/2024,-2.84%,2023,
GLD,Long,6/27/2023,$177.47*,$193.21 ,3/1/2024,8.87%,2023,
PANW,Short,1/10/2024,$336.30*,$324.30 (First Half),2/20/2024,3.57%,2023,
PANW,Short,1/10/2024,$336.30*,$310.30 (Second Half),2/20/2024,7.73%,2023,
KWEB,Long,1/10/2024,$23.99 ,$25.92 ,2/16/2024,8.05%,2023,
IWM,Long,1/29/2024,$196.97 ,$204.07 ,2/15/2024,4.13%,2023,
VXX,Long,1/18/2024,$14.48*,$15.55*,2/13/2024,7.39%,2023,
TRV,Short,1/19/2024,$213.86 ,$214.85 ,2/9/2024,-0.46%,2023,
WBA,Long,1/18/2024,$21.93 ,$22.24 ,2/9/2024,1.41%,2023,
HSY,Long,10/12/2023,$191.06 ,$199.25 ,2/5/2024,4.29%,2023,
SE,Long,1/31/2024,$38.45 ,$42.07 ,2/2/2024,9.41%,2023,
VXX,Long,1/18/2024,$14.87 ,$15.02 ,1/31/2024,1.01%,2023,
BA,Long,1/25/2024,$199.93 ,$210.15 ,1/31/2024,5.11%,2023,
AMD,Short,1/24/2024,$178.07 ,$174.11 ,1/30/2024,2.22%,2023,
BA,Long,1/16/2024,$206.20*,$217.13 ,1/24/2024,5.30%,2023,
UNG,Long,1/18/2024,$20.80*,$21.15 ,1/24/2024,1.68%,2023,
SMCI,Short,1/19/2024,$430.25*,$418.75 ,1/22/2024,2.67%,2023,
TBT,Long,12/6/2023,$32.77 ,$34.15 ,1/19/2024,4.21%,2023,
UPST,Long,1/16/2024,$29.97 ,$32.88 ,1/19/2024,9.71%,2023,
BA,Long,1/16/2024,$206.20*,$212.20 ,1/18/2024,2.19%,2023,
AFRM,Short,12/4/2023,$46.12*,$39.60 ,1/17/2024,14.14%,2023,
VXX,Long,1/9/2024,$14.88*,$16.08 ,1/17/2024,8.06%,2023,
BITI,Long,1/11/2024,$11.17 ,$12.07 ,1/11/2024,8.06%,2023,
BA,Short,11/20/2023,$238.15*,$227.00 ,1/8/2024,4.68%,2023,
UNG,Long,11/17/2023,$5.01*,$5.71 ,1/4/2024,13.97%,2023,
SQ,Short,12/14/2023,$74.75 ,$66.95 ,1/4/2024,10.43%,2023,
Tax Selling,To Offset,2023,Profits,And Reduce,Tax Bill,undefined,2023,
QID,Long,1/17/2023,$17.70 ,$10.68 ,12/29/2023,-39.66%,2023,
ORLY,Short,6/29/2020,$670.27 ,$946.13 ,12/29/2023,-41.16%,2023,
GOTU,Long,5/21/2021,$14.31 ,$3.68 ,12/29/2023,-74.28%,2023,
ABIO,Long,2/5/2021,$4.70 ,$1.72 ,12/29/2023,-63.40%,2023,
RCON,Long,6/11/2021,$2.43 ,$0.24 ,12/29/2023,-90.12%,2023,
ROKU,Short,11/20/2023,$101.02 ,$89.82 ,12/21/2023,11.09%,2023,
Below Are,Tax Loss,Selling To,Offset,Profits,Reducing,Tax,2023,
F,Long,8/10/2023,$10.84 ,$11.79 ,12/14/2023,10.36%,2023,
AA,Long,8/16/2023,$25.87 ,$28.50 ,12/14/2023,8.76%,2023,
GIS,Long,10/2/2023,$62.50 ,$67.00 ,12/13/2023,7.20%,2023,
WMT,Short,9/14/2023,$165.38 ,$149.95 ,12/11/2023,9.33%,2023,
BITI,Long,12/6/2023,$12.61 ,$13.65 ,12/11/2023,8.25%,2023,
WBA,Long,6/28/2023,$23.75*,$23.42 ,12/8/2023,-1.39%,2023,
MRNA,Long,12/6/2023,$75.56*,$82.52 ,12/6/2023,9.21%,2023,
LUV,Long,9/13/2023,$24.90*,$26.76 ,12/4/2023,7.23%,2023,
DISH,Long,11/20/2023,$3.60 ,$4.01 ,12/4/2023,11.39%,2023,
NEM,Long,8/14/2023,$37.34 ,$41.14 ,12/1/2023,10.18%,2023,
TLT,Long,5/24/2023,$87.65*,$91.23 ,11/22/2023,4.12%,2023,
AMAT,Short,11/14/2023,$153.65 ,$142.65 ,11/17/2023,7.16%,2023,
ZM,Long,10/25/2023,$60.92 ,$65.27 ,11/15/2023,7.14%,2023,
KWEB,Long,10/3/2023,$26.83 ,$29.05 ,11/15/2023,8.27%,2023,
MMM,Long,10/4/2023,$88.00 ,$95.25 ,11/14/2023,8.24%,2023,
CCI,Long,8/16/2023,$94.51*,$102.01 ,11/14/2023,7.94%,2023,
UAL,Long,10/18/2023,$36.70 ,$39.50 ,11/14/2023,7.63%,2023,
TWLO,Long,10/6/2023,$55.15 ,$60.15 ,11/9/2023,9.07%,2023,
CHWY,Long,9/13/2023,$18.64*,$20.95 ,11/3/2023,12.39%,2023,
PYPL,Long,10/27/2023,$51.00 ,$55.79 ,11/3/2023,9.39%,2023,
TGT,Long,10/5/2023,$105.40 ,$114.00 ,11/3/2023,8.16%,2023,
TDOC,Long,8/14/2023,$17.14*,$17.90 ,11/3/2023,4.43%,2023,
PARA,Long,10/26/2023,$10.69 ,$11.75 ,11/2/2023,7.21%,2023,
M,Long,8/24/2023,$11.64*,$12.34 ,11/2/2023,6.01%,2023,
TDOC,Long,8/14/2023,$17.14*,$17.23 ,11/2/2023,0.53%,2023,
META,Short,10/6/2023,$326.58 ,$288.75 ,10/26/2023,11.58%,2023,
VIXY,Long,4/17/2023,$26.85*,27.3,10/23/2023,1.68%,2023,
VXX,Long,6/13/2023,$26.26*,$26.89 ,10/20/2023,2.40%,2023,
ITB,Short,4/21/2023,$77.23 ,$72.35 ,10/20/2023,6.32%,2023,
TSLA,Short,10/10/2023,$266.95 ,$247.01 ,10/18/2023,7.47%,2023,
DG,Long,9/25/2023,$107.25 ,$116.51 ,10/17/2023,8.63%,2023,
GOLD,Long,10/5/2023,$14.30 ,$15.60 ,10/13/2023,9.09%,2023,
AG,Long,10/2/2023,$4.87 ,$5.40 ,10/13/2023,10.88%,2023,
HSY,Long,10/5/2023,$196.70 ,$194.36 ,10/11/2023,-1.19%,2023,
SQ,Long,8/14/2023,$44.20*,$47.27 ,10/11/2023,6.95%,2023,
SEDG,Long,10/9/2023,$118.39 ,$126.63 ,10/10/2023,6.96%,2023,
UCO,Long,10/5/2023,$30.35 ,$32.47 ,10/9/2023,6.99%,2023,
ROKU,Long,9/26/2023,$68.20 ,$75.16 ,10/9/2023,10.21%,2023,
UNG,Long,8/15/2023,$6.89*,$7.25 ,10/5/2023,5.23%,2023,
CAT,Short,8/10/2023,$286.71 ,$265.41 ,10/4/2023,7.43%,2023,
SCO,Long,9/15/2023,$16.30 ,$18.12 ,10/4/2023,11.17%,2023,
XLE,Short,9/7/2023,$91.73 ,$85.01 ,10/4/2023,7.33%,2023,
KBH,Short,4/11/2023,$49.31*,$44.24 ,10/3/2023,10.28%,2023,
MCD,Short,11/3/2022,$281.10*,$255.34 ,10/3/2023,9.16%,2023,
JPM,Short,11/11/2022,$146.04*,$142.87 ,10/3/2023,2.13%,2023,
SDS,Long,3/31/2023,$35.99*,$38.31 ,10/3/2023,6.45%,2023,
MNST,Short,5/9/2023,$59.10 ,$53.50 ,9/27/2023,9.48%,2023,
TSLA,Short,8/31/2023,$260.16 ,$238.75 ,9/27/2023,8.23%,2023,
SQQQ,Long,8/29/2023,$18.80 ,$20.88 ,9/26/2023,11.06%,2023,
DXD,Long,7/25/2023,$41.69 ,$38.09 ,9/25/2023,9.29%,2023,
SE,Long,8/23/2023,$36.85 ,$40.90 ,9/25/2023,10.99%,2023,
NFLX,Short,8/30/2023,$436.05 ,$385.25 ,9/21/2023,12.11%,2023,
BA,Short,1/11/2023,$223.29*,$200.85*,9/21/2023,10.02%,2023,
SOXS,Long,8/29/2023,$9.48 ,$10.85 ,9/15/2023,14.45%,2023,
ORCL,Short,5/30/2023,$113.18*,$107.50*,9/12/2023,5.02%,2023,
CGC,Long,11/17/2021,$7.70*,$1.10*,9/11/2023,-85.71%,2023,
MJ,Long,12/19/2022,$3.79*,$4.10*,9/8/2023,8.18%,2023,
RBLX,Long,8/24/2023,$26.45 ,$28.45 ,8/31/2023,7.56%,2023,
VZ,Long,7/17/2023,$31.99 ,$34.49 ,8/29/2023,7.81%,2023,
MRNA,Long,8/8/2023,$99.75 ,$109.83 ,8/21/2023,10.11%,2023,
NFLX,Short,5/26/2023,$438.00*,$399.20*,8/18/2023,8.68%,2023,
DE,Short,7/24/2023,$445.05 ,$399.99 ,8/18/2023,10.12%,2023,
META,Short,5/26/2023,$299.97*,$277.94*,8/18/2023,7.34%,2023,
KBH,Short,4/11/2023,$49.31*,48.60*,8/18/2023,1.44%,2023,
SQQQ,Long,6/13/2023,$18.69*,$20.59*,8/17/2023,10.17%,2023,
TSLA,Short,6/8/2023,$260.98*,$234.70*,8/15/2023,10.07%,2023,
DAL,Short,7/3/2023,$47.65 ,$42.99 ,8/15/2023,9.78%,2023,
SOXS,Long,5/26/2023,$9.52*,$10.59*,8/11/2023,12.42%,2023,
UNG,Long,3/10/2023,$7.24*,$8.11*,8/9/2023,12.02%,2023,
ABNB,Short,7/31/2023,$152.75 ,$142.35 ,8/3/2023,6.81%,2023,
SE,Long,6/22/2023,$59.52 ,$66.58 ,7/31/2023,11.86%,2023,
NFLX,Short,5/26/2023,$438.00*,$428.50*,7/21/2023,2.17%,2023,
TDOC,Long,7/7/2023,$22.55 ,$25.33 ,7/13/2023,12.33%,2023,
NEM,Long,5/31/2023,$39.99 ,$44.90 ,7/12/2023,12.28%,2023,
HSY,Short,4/27/2023,$268.90 ,$241.04 ,7/11/2023,10.35%,2023,
DISH,Long,6/27/2023,$5.91 ,$6.52 ,6/27/2023,10.31%,2023,
PYPL,Long,5/15/2023,$62.35 ,$68.50 ,6/20/2023,9.86%,2023,
FL,Long,5/25/2023,$25.50 ,$27.71 ,6/16/2023,8.67%,2023,
MMM,Long,5/26/2023,$96.53 ,$103.53 ,6/15/2023,7.25%,2023,
SE,Long,5/26/2023,$60.40 ,$65.40 ,6/13/2023,8.28%,2023,
KRE,Long,3/10/2023,$41.05*,$43.95*,6/7/2023,7.01%,2023,
LEVI,Long,5/25/2023,$12.85 ,$14.01 ,6/6/2023,9.03%,2023,
JD,Long,5/31/2023,$31.60 ,$34.66 ,6/1/2023,9.68%,2023,
DKS,Short,4/11/2023,$139.40 ,$124.30 ,5/23/2023,10.83%,2023,
ZM,Long,5/9/2023,$62.87 ,$68.72 ,5/18/2023,9.31%,2023,
DISH,Long,5/12/2023,$6.09 ,$6.92 ,5/17/2023,13.63%,2023,
XOM,Short,4/4/2023,$116.65 ,$103.85 ,5/16/2023,10.97%,2023,
JD,Long,4/25/2023,$33.70 ,$38.00 ,5/15/2023,12.86%,2023,
AEM,Short,4/12/2023,$58.10 ,$56.22 ,5/12/2023,3.24%,2023,
ZSL,Long,4/13/2023,$15.90 ,$18.15 ,5/11/2023,15.15%,2023,
SBUX,Short,4/27/2023,$116.65 ,$103.95 ,5/3/2023,6.90%,2023,
T,Short,10/27/2022,$18.62*,$17.06*,5/2/2023,8.38%,2023,
BAX,Long,3/8/2023,$39.25 ,$43.20 ,4/13/2023,10.06%,2023,
AMGN,Long,3/1/2023,$231.25 ,$253.05 ,4/5/2023,9.43%,2023,
SLV,Long,2/15/2023,$19.78 ,$22.15 ,3/31/2023,11.98%,2023,
BABA,Long,2/23/2023,$86.03*,$95.53*,3/28/2023,11.04%,2023,
SBNY,Long,3/9/2023,$91.00 ,$0.58 ,3/28/2023,-99.95%,2023,
UCO,Long,3/15/2023,$21.27 ,$23.82 ,3/22/2023,11.99%,2023,
GLD,Long,2/17/2023,$16.46 ,$18.16 ,3/17/2023,10.33%,2023,
GDX,Long,2/24/2023,$26.75 ,$30.07 ,3/17/2023,11.04%,2023,
XOM,Short,10/6/2022,$110.58*,$100.45 ,3/15/2023,9.16%,2023,
AAL,Short,1/11/2023,$16.07*,$14.50*,3/14/2023,10.83%,2023,
ING,Short,1/13/2023,$13.73 ,$12.28 ,3/13/2023,10.56%,2023,
CAT,Short,11/23/2022,$249.00*,$225.25*,3/13/2023,10.75%,2023,
TSLA,Short,1/30/2023,$197.53*,$171.47*,3/10/2023,13.19%,2023,
VIXY,Long,1/13/2023,$9.22*,$11.15*,3/10/2023,20.93%,2023,
SDS,Long,1/11/2023,$40.49*,$45.63*,3/10/2023,11.87%,2023,
DXD,Long,11/8/2022,$42.25*,$46.96*,3/10/2023,11.15%,2023,
GRND,Long,11/30/2022,$5.90 ,$7.05 ,3/6/2023,19.49%,2023,
BOIL,Long,1/13/2023,$6.07*,$6.52*,2/27/2023,7.41%,2023,
NFLX,Short,1/26/2023,$368.68 ,$324.68 ,2/23/2023,11.94%,2023,
AMD,Short,2/1/2023,$85.01 ,$78.11 ,2/17/2023,8.12%,2023,
COIN,Short,2/2/2023,$75.50*,$63.30*,2/9/2023,16.15%,2023,
AMZN,Long,9/16/2022,$105.82*,$109.35*,2/2/2023,3.90%,2023,
IQ,Long,3/25/2021,$7.93*,$7.80*,2/2/2023,-1.64%,2023,
TLRY,Long,12/15/2022,$3.18 ,$3.52 ,2/2/2023,10.69%,2023,
SNOW,Long,12/16/2022,$139.41 ,$156.85 ,1/27/2023,12.51%,2023,
TSLA,Long,12/21/2022,$120.33*,$137.33*,1/18/2023,14.30%,2023,
ZIM,Long,1/5/2023,$16.84 ,$18.52 ,1/18/2023,9.98%,2023,
ZM,Long,12/27/2022,$65.49 ,$71.20 ,1/18/2023,8.72%,2023,
CRWD,Long,12/27/2022,$101.55 ,$107.05 ,1/18/2023,5.42%,2023,
TDOC,Long,12/20/2022,$25.82 ,$28.52 ,1/18/2023,10.46%,2023,
BOIL,Long,1/10/2023,$11.15*,$12.90*,1/12/2023,15.70%,2023,
TLT,Long,12/27/2022,$100.52*,$107.35*,1/12/2023,6.80%,2023,
EWZ,Long,12/19/2022,$26.70 ,$30.00 ,1/12/2023,12.36%,2023,
PYPL,Long,12/12/2022,$73.44 ,$80.14 ,1/12/2023,9.12%,2023,
GLD,Long,5/10/2022,$164.65*,$176.65 ,1/12/2023,7.29%,2023,
RSX,Long,3/1/2022,$8.02 ,$0.00 ,1/12/2023,-100.00%,2023,
ARKK,Long,12/27/2022,$30.10 ,$33.27 ,1/10/2023,10.53%,2023,
SOFI,Long,11/29/2022,$4.47 ,$5.09 ,1/10/2023,13.87%,2023,
CRM,Long,12/6/2022,$133.20 ,$146.10 ,1/9/2023,9.68%,2023,
BOIL,Long,1/6/2023,$11.43 ,$13.36 ,1/9/2023,16.89%,2023,
WDC,Long,12/16/2022,$31.93 ,$35.55 ,1/6/2023,11.34%,2023,
BX,Long,12/20/2022,$73.15 ,$78.85 ,1/6/2023,7.79%,2023,
GDX,Long,7/5/2022,$26.52 ,$31.42 ,1/6/2023,18.48%,2023,
DELL,Short,$212.87 ,$208.87 ,4/21/2026,5/1/2026,"$1,200.00 ",1.88%,2022
SOXL,Short,$126.07 ,$107.97 ,4/24/2026,4/28/2026,"$18,100.00 ",14.36%,2022
CIEN,Short,$496.70 ,$461.63 ,4/2/2026,4/28/2026,"$9,052.00 ",3.31%,2022
NBIS,Short,$165.75 ,$149.63 ,4/14/2026,4/24/2026,"$4,836.00 ",9.73%,2022
COHR,Short,$351.56 ,$328.13 ,4/16/2026,4/23/2026,"$7,608.00 ",3.61%,2022
MU,Short,$467.30 ,$439.77 ,4/14/2026,4/20/2026,"$5,506.00 ",5.89%,2022
FIG,Long,$19.63 ,$21.30 ,3/24/2026,4/16/2026,"$6,840.00 ",5.81%,2022
TTD,Long,$21.44 ,$23.10 ,3/17/2026,4/16/2026,"$5,885.00 ",3.66%,2022
CRM,Long,$168.95 ,$182.85 ,4/9/2026,4/16/2026,"$4,170.00 ",8.23%,2022
TEAM,Long,$58.73 ,$63.53 ,4/9/2026,4/15/2026,"$4,800.00 ",8.17%,2022
ASAN,Long,$5.65 ,$6.00 ,4/9/2026,4/15/2026,"$1,400.00 ",6.19%,2022
BABA,Long,$125.70 ,$132.15 ,3/3/2026,4/14/2026,"$10,390.00 ",3.18%,2022
DUOL,Long,$87.95 ,$95.53 ,4/9/2026,4/14/2026,"$3,790.00 ",8.62%,2022
SMR,Long,$10.18 ,$11.24 ,3/6/2026,4/14/2026,"$2,675.00 ",2.10%,2022
ORCL,Long,$140.12 ,$150.03 ,3/26/2026,4/13/2026,"$7,110.00 ",5.07%,2022
CRWD,Long,$367.37 ,$395.53 ,4/10/2026,4/13/2026,"$4,224.00 ",7.67%,2022
ADBE,Long,$236.69 ,$237.73 ,4/6/2026,4/13/2026,$624.00 ,0.44%,2022
IONQ,Long,$28.82 ,$30.86 ,3/11/2026,4/8/2026,"$12,005.00 ",4.38%,2022
VLO,Short,$246.06 ,$232.30 ,3/11/2026,4/8/2026,"$6,572.50 ",2.23%,2022
NVO,Long,$35.33 ,$38.13 ,3/30/2026,4/8/2026,"$5,600.00 ",7.93%,2022
MSFT,Long,$367.87 ,$385.00 ,3/26/2026,4/8/2026,"$5,355.00 ",3.64%,2022
WHR,Long,$53.60 ,$58.07 ,3/19/2026,4/8/2026,"$3,576.00 ",8.34%,2022
SOXS,Long,$35.87 ,$40.35 ,4/1/2026,4/2/2026,"$4,480.00 ",12.49%,2022
RGTI,Long,$12.87 ,$13.97 ,4/2/2026,4/2/2026,"$3,300.00 ",8.55%,2022
RBLX,Long,$54.16 ,$58.85 ,3/10/2026,4/1/2026,"$5,544.00 ",4.27%,2022
TEAM,Long,$64.90 ,$70.23 ,3/27/2026,4/1/2026,"$5,330.00 ",8.21%,2022
SCO,Long,$7.83 ,$8.56 ,3/26/2026,4/1/2026,"$4,675.00 ",7.96%,2022
RGTI,Long,$12.75 ,$13.70 ,3/30/2026,3/31/2026,"$4,750.00 ",7.45%,2022
ASAN,Long,$6.12 ,$6.52 ,3/20/2026,3/31/2026,"$3,100.00 ",5.07%,2022
CIEN,Short,$392.99 ,$391.87 ,3/10/2026,3/26/2026,"($2,332.00)",-0.59%,2022
SCO,Long,$7.80 ,$8.80 ,3/13/2026,3/23/2026,"$8,650.00 ",8.53%,2022
NEM,Long,$88.81 ,$95.73 ,3/23/2026,3/23/2026,"$4,152.00 ",7.79%,2022
WRD,Long,$6.50 ,$7.22 ,3/10/2026,3/23/2026,"$3,600.00 ",11.08%,2022
UAL,Long,$86.17 ,$94.50 ,3/12/2026,3/17/2026,"$4,165.00 ",9.67%,2022
IBIT,Long,$38.54 ,$41.95 ,3/6/2026,3/13/2026,"$5,115.00 ",8.85%,2022
FMC,Long,$13.33 ,$14.81 ,3/3/2026,3/12/2026,"$4,440.00 ",11.10%,2022
VLO,Short,$225.83 ,$215.50 ,3/3/2026,3/10/2026,"$4,132.00 ",4.57%,2022
UAL,Long,$89.74 ,$96.03 ,3/6/2026,3/10/2026,"$3,774.00 ",7.01%,2022
SCO,Long,$10.22 ,$10.63 ,3/5/2026,3/9/2026,"$3,675.00 ",2.40%,2022
FDX,Short,$389.37 ,$362.80 ,2/27/2026,3/6/2026,"$5,314.00 ",6.82%,2022
MSFT,Long,$388.95 ,$409.83 ,3/2/2026,3/4/2026,"$5,220.00 ",5.37%,2022
GDX,Short,$114.64 ,$105.73 ,2/25/2026,3/3/2026,"$8,912.00 ",7.77%,2022
